Which Year of Study are you currently in?,Which Faculty are you from? (Indicate your home faculty if you are in a double degree programme.),"Did you enter campus during semester 1,AY20/21 (for any purpose like studying,visiting etc.)?","During my time on campus,the COVID-19 measures put in place by NUS were easy to follow.","During my time on campus,the COVID-19 measures put in place by NUS were sufficient in ensuring the safety of our health.",The uNivUS phone application is user-friendly and easy to use.,I feel that the zoning restrictions were ________.,The Zoning Restriction was effective in minimising overcrowding and intermingling.,I feel at disadvantage due to the Zoning Restrictions.,"If you agree with the previous question,please share why.",I wear my mask whenever I am on the NUS campus.,I wear my mask whenever I am in NUS residences.,I ensured that the people around me wore their masks at all times.,I ensured that I follow the 1-metre social distancing rule whenever I am in NUS.,What other measures should be implemented by NUS to ensure the safety of our health?,I prefer online classes to physical classes.,I was able to learn as effectively online as in physical classes (answer only if you are in year 2 or higher).,"If you agreed in the previous question,what are the reasons? - Time-saving (e.g. on transport)","If you agreed in the previous question,what are the reasons? - Better learning experience","If you agreed in the previous question,what are the reasons? - Flexible schedule","If you agreed in the previous question,what are the reasons? - Others","If you chose others,please state your reason:",Which of your modules were good examples of online learning? Kindly state the module code.,What are some challenges that you encountered in online learning? - Lack of conducive learning environment at home,What are some challenges that you encountered in online learning? - Lack of study spaces,What are some challenges that you encountered in online learning? - Lack of access to academic resources (e.g. at NUS Libraries),What are some challenges that you encountered in online learning? - Others,"If you chose others,please state your reason:",What do you think could have been done better to support your online learning?,I prefer exams conducted in physical spaces to those conducted remotely (answer only if you are in year 2 or higher).,"If you disagreed in the previous question,what are the reasons?","Based on your observations,how prevalent is cheating and plagiarism in school?","Based on my knowledge,I know ____ incidences of academic dishonesty that has happened during online exams.","If you encountered sexual misconduct on campus,which organisation would you report the case to at your first thought?","If you chose others,please state:",I feel safe studying in NUS.,I feel safe living in NUS residences.,I feel safe approaching a teaching staff alone.,"If you disagreed in the previous question,what are the reasons?",I would feel safe reporting a case of sexual misconduct in NUS.,Do you feel that NUS has sufficiently handled the cases of sexual misconduct in the past semester?,"If you answered 'no’ in the previous question,what are the reasons?",Do you feel that NUS has been sufficiently transparent in its handling of cases of sexual misconduct in the past semester?,"If you answered 'no’ in the previous question,what are the reasons?",Have you read the NUS Code of Conduct for both Students and Staff?,"If you answered 'no’ in the previous question,please skip to the next question. Otherwise,are the principles and boundaries set in the NUS Code of Conduct for Students and/or Staff sufficient?The NUS Code of Conduct for Students and Staff can be found at  https://nus.edu.sg/osa/docs/default-source/osa-doc/resources-and-policies/code-of-student-conduct.pdf and https://www.nus.edu.sg/docs/default-source/corporate-files/about/code-of-conduct-nus-staff.pdf respectively for your reference.",I feel that the frequency of discussions in NUS about sexual misconduct are __.,In what other ways can NUS better tackle sexual misconduct?,"PDPA 2012 DeclarationBy indicating your consent to provide your personal data in this form,you agree that the National University of Singapore,through the National University of Singapore Students' Union is allowed to collect,process,and disclose your data for the purposes of:Receive updates for the purpose of collection of prizes from NUSSU PRU by email;Other reasonably related purposes.All personal information will be kept confidential and used for the purpose(s) stated only.",I consent to the statement above with regards to PDPA 2012,"A Final NoteThank you for your completing the NUSSU PRU Feedback Survey.Once again,if you have provided your Name,NUSNet ID and NUS Email,you will be eligible for a chance to win a $50 Amazon Gift Card or one of 5 $10 Amazon Gift Cards. We will use your responses you have provided to help us create and work on better policies for students and represent you better. If you have any queries or comments,do contact us at feedback@nussu.org.sg.Thank you and have a great day!"
3,Yong Loo Lin School of Medicine,Yes,Moderately Disagree,Slightly Agree,Slightly Agree,Ok,Slightly Disagree,Moderately Disagree,,Sometimes,Always,Generally,Always,,Slightly Agree,Slightly Agree,,,Flexible schedule,,,,,Lack of study spaces,,,,More interaction,Strongly Disagree,More flexible less stressful,Seldom,0,NUS Staff,,Slightly Agree,Strongly Agree,Slightly Agree,,Yes,Yes,,Yes,,I have read both.,,Too Little,,,TRUE,
1,Faculty of Arts & Social Sciences,Yes,Slightly Agree,Slightly Agree,Moderately Agree,a little pointless because many students mingle outside of NUS anyway,Slightly Agree,Moderately Agree,Unable to go to Utown,Always,Not Applicable ,Generally,Generally,,Moderately Agree,Not Applicable  ,,,,,,"GE1101E, GE2218, EL1101E, GE2101, GET1050",Lack of conducive learning environment at home,Lack of study spaces,,,,NIL,Not Applicable  ,,Generally,0,Police,,Slightly Agree,Not Applicable,Moderately Agree,,Yes,Yes,,Yes,,I only read that for students.,,Sufficient,,,TRUE,
2,Yong Loo Lin School of Medicine,Yes,Moderately Agree,Moderately Agree,Moderately Agree,"necessary, though slightly inconvenient at the beginning",Moderately Agree,Slightly Disagree,,Always,Not Applicable ,Always,Generally,,Moderately Agree,Moderately Agree,Time-saving (e.g. on transport),Better learning experience,Flexible schedule,,,"NUR2204C, GEH1070",,Lack of study spaces,,,,Perhaps more online learning resources like practice quizzes could be used to enhance online learning.,Slightly Agree,,Sometimes,a few,Office of Campus Security,,Moderately Agree,Not Applicable,Strongly Agree,,Yes,Yes,,Yes,,I only read that for students.,,Too Little,Raising greater awareness through online platforms/social media,,TRUE,
3,Faculty of Engineering,Yes,Slightly Agree,Moderately Disagree,Moderately Disagree,ineffective,Slightly Disagree,Slightly Agree,"Lack of access to facilities and food options within engineering, had to go all the way to Utown",Always,Not Applicable ,Always,Generally,Inspection,Moderately Agree,Moderately Agree,Time-saving (e.g. on transport),Better learning experience,Flexible schedule,,,"CN2125, CN2122A, EG2401A, IE2141. FIN2704X, MA1513",Lack of conducive learning environment at home,,,,,Bette flexibility in timetabling,Slightly Disagree,"Don't have to travel out to school to take the exams, especially when the tests are early in the morning. Which allows me to be at a much more comfortable state, to take exams.Toilet is very near, less time wasted if emergency toilet break needed.",Sometimes,3,Police,,Moderately Agree,Not Applicable,Strongly Agree,,Yes,Yes,,Yes,,I have read both.,,Sufficient,"I feel that the measures taken are sufficient in the sense that there is an awareness raised. As a student, my priority is to learn in the university. I hope that measures put in place should not compromise learning experience, and should also have protection for both males and females on campus.",,TRUE,
1,Faculty of Science,Yes,Slightly Agree,Moderately Agree,Moderately Agree,Too restrictive. It doesn't seem quite right since students from different zones could still end up being together as they take the same public transport (e g. Bus/mrt),Strongly Disagree,Slightly Agree,I was unable to tap on other resources (e.g. libraries in other faculties),Always,Not Applicable ,Generally,Generally,Nil,Slightly Agree,Not Applicable  ,Time-saving (e.g. on transport),,Flexible schedule,,,LSM1106: lab experiments were recorded for us to visualise how they were conducted though we were unable to do it on site,Lack of conducive learning environment at home,Lack of study spaces,Lack of access to academic resources (e.g. at NUS Libraries),Others,Lectures being incredibly long with extra videos (e.g. tutorials) that we have to watch outside of lecture,Reduced workload (we are already struggling with adapting to online sem) + have mcq questions instead of open ended ones (helps lecturers mark the answers more easily too),Not Applicable  ,,Generally,A few (hearsay),Police,,Moderately Agree,Not Applicable,Moderately Agree,,Yes,Yes,,Yes,,I only read that for students.,,Sufficient,Have tea sessions with students to find out more about their views and suggestions,,TRUE,
4+,School of Computing,Yes,Strongly Agree,Strongly Agree,Slightly Agree,not a necessity,Strongly Disagree,Strongly Agree,Students who drive are at an advantage.,Always,Not Applicable ,Always,Always,,Strongly Agree,Strongly Agree,Time-saving (e.g. on transport),Better learning experience,Flexible schedule,,,,,,,Others,No challenges were met,More QnA sessions for students to ask prof questions as emails can be difficult for the prof to follow up and explain.,Strongly Agree,,Seldom,0,Office of Campus Security,,Moderately Agree,Not Applicable,Strongly Disagree,,Yes,Yes,,Yes,,I have read both.,Yes,Sufficient,,,TRUE,
3,Faculty of Science,Yes,Moderately Agree,Moderately Agree,Slightly Agree,inconvenient,Moderately Agree,Slightly Disagree,,Always,Not Applicable ,Generally,Generally,,Moderately Agree,Slightly Disagree,Time-saving (e.g. on transport),,Flexible schedule,,,,Lack of conducive learning environment at home,Lack of study spaces,,,,Availability of more study spaces in school.,Moderately Agree,,Sometimes,1,Police,,Moderately Agree,Not Applicable,Moderately Agree,,Yes,Yes,,Yes,,I have not read any Code of Conduct. ,,Too Little,,,TRUE,
4+,Faculty of Engineering,Yes,Moderately Agree,Moderately Agree,Moderately Agree,Ineffective,Moderately Disagree,Strongly Agree,Unable to go to other faculties when needed,Always,Not Applicable ,Always,Generally,,Slightly Agree,Moderately Agree,Time-saving (e.g. on transport),Better learning experience,,,,,Lack of conducive learning environment at home,Lack of study spaces,,Others,Difficulty in group presentations,Allow more spaces in nus for doing online learning with switches etc,Strongly Agree,,Seldom,No,Police,,Strongly Agree,Strongly Agree,Strongly Agree,,Yes,Yes,,Yes,,I have not read any Code of Conduct. ,,Sufficient,,,TRUE,
2,Faculty of Science,Yes,Moderately Disagree,Moderately Agree,Slightly Disagree,unnecessary,Slightly Disagree,Slightly Disagree,,Always,Not Applicable ,Always,Generally,,Slightly Agree,Slightly Agree,Time-saving (e.g. on transport),,,,,,Lack of conducive learning environment at home,Lack of study spaces,,,,"Luminus quizzes could be made more stable. Standardize uploading of all zoom lecture recordings in Multimedia on Luminus so that it is easier to control speed (1.25x, 1.75x) and possible to resume where we left off.",Strongly Agree,,Sometimes,0,Office of Campus Security,,Slightly Agree,Not Applicable,Moderately Agree,,No,Yes,,Yes,,I only read that for students.,,Sufficient,,,TRUE,
3,School of Design & Environment,No,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Time-saving (e.g. on transport),Better learning experience,Flexible schedule,,,"LAJ2203, RE3808, GES1035",,,Lack of access to academic resources (e.g. at NUS Libraries),,,More academic sources to be made accessible on NUS Library portal.,Strongly Disagree,"Taking e-exams allow me to be more comfortable and at ease, and less nervous and tired because there's no need to travel to school or dress up in a presentable manner. I can take the tests in my pajamas while drinking my morning tea, which helps me to relax and perform at my best mental state.",Seldom,0,NUS Staff,,Strongly Agree,Strongly Agree,Moderately Agree,,Yes,Yes,,Yes,,I only read that for students.,Yes,Sufficient,Advise future orientation planning committees to reduce games/ activities that involve physical contact.,,TRUE,
